USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root         847  0.0  0.1 337284 19736 ?        Ssl  10:43   0:00 /usr/sbin/NetworkManager --no-daemon
root         905  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/2:2-events]
root         907  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/2:3-events]
root         976  0.0  0.0 391328 12680 ?        Ssl  10:43   0:00 /usr/sbin/ModemManager
root         991  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-rpciod]
root         992  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-xprtiod]
root         994  0.0  0.0   6876  2900 ?        Ss   10:43   0:00 /usr/sbin/cron -f
root        1079  0.0  0.0 134236 12128 ?        Ssl  10:43   0:00 /opt/happ/bin/happd
root        1090  0.0  0.0 384860 10176 ?        Ssl  10:43   0:00 /usr/sbin/gdm3
systemd+    1106  0.0  0.0  16668  7516 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd-oomd
root        1109  0.0  0.0      0     0 ?        S    10:43   0:00 [psimon]
root        1234  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u21:1-ttm]
root        1235  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u16:2-sdma0]
colord      1246  0.1  0.0 317748 15988 ?        Ssl  10:43   0:00 /usr/libexec/colord
root        1292  0.0  0.1 344304 20808 ?        Ssl  10:43   0:00 /usr/libexec/packagekitd
root        1293  0.1  0.0 319508 11664 ?        Ssl  10:43   0:00 /usr/libexec/upowerd
root        1386  0.0  0.0  16864  7552 ?        S    10:43   0:00 systemd-userwork: waiting...
pcscd       1392  0.0  0.0 552284  8264 ?        Ssl  10:43   0:00 /usr/sbin/pcscd --foreground --auto-exit
root        1406  0.0  0.0  16864  7580 ?        S    10:43   0:00 systemd-userwork: waiting...
root        1440  0.0  0.0  16864  7592 ?        S    10:43   0:00 systemd-userwork: waiting...
root        1445  0.0  0.0  16864  7680 ?        S    10:43   0:00 systemd-userwork: waiting...
root        1519  0.0  0.0  17456  7176 ?        Ss   10:43   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1721  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-cfg80211]
root        1800  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:5-events]
root        1801  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/1:6-events]
root        1843  0.0  0.0 309204  7248 ?        Ssl  10:43   0:00 /usr/libexec/power-profiles-daemon
root        1881  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u21:2-ttm]
root        1917  0.2  0.0      0     0 ?        I    10:43   0:00 [kworker/u16:3-gfx]
root        1931  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u20:2-ttm]
root        2096  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:5-events]
root        2097  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/3:6-events]
root        2107  0.0  0.0 172420  9780 ?        Sl   10:43   0:00 gdm-session-worker [pam/gdm-password]
kali        2182  0.5  0.0  24160 14692 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd --user
kali        2184  0.0  0.0  22640  4040 ?        S    10:43   0:00 (sd-pam)
kali        2204  0.5  0.0   9860  6636 ?        Ss   10:43   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        2205  0.1  0.0  30280 14020 ?        S<sl 10:43   0:00 /usr/bin/pipewire
kali        2207  0.0  0.0 183380 10636 ?        SLsl 10:43   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        2208  0.0  0.0   7236  3808 ?        Ss   10:43   0:00 /usr/bin/mpris-proxy
kali        2209  0.1  0.2 556752 34740 ?        S<sl 10:43   0:00 /usr/bin/wireplumber
kali        2210  0.0  0.0  10872  5128 ?        Ss   10:43   0:00 /usr/bin/pipewire -c filter-chain.conf
kali        2216  0.1  0.0  27916 10824 ?        S<sl 10:43   0:00 /usr/bin/pipewire-pulse
kali        2232  0.0  0.0 168268  6316 tty2     Ssl+ 10:43   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
kali        2241  0.0  0.0 165192  6404 tty2     Sl+  10:43   0:00 /usr/libexec/gnome-session-init-worker gnome
root        2276  0.0  0.0  16692  7256 ?        S    10:43   0:00 systemd-userwork: waiting...
root        2279  0.0  0.0  16692  7176 ?        S    10:43   0:00 systemd-userwork: waiting...
kali        2307  0.0  0.0  97656  7336 ?        Ssl  10:43   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
kali        2308  0.0  0.0  87280  5432 ?        Ssl  10:43   0:00 /usr/libexec/gnome-session-ctl --monitor
kali        2309  0.0  0.0  10556  6584 ?        Ss   10:43   0:00 /usr/bin/ssh-agent -D
kali        2324  0.0  0.0 313056  8412 ?        Ssl  10:43   0:00 /usr/libexec/gvfsd
kali        2330  0.0  0.0 324780  7588 ?        Sl   10:43   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        2334  0.0  0.0 540132 10724 ?        Ssl  10:43   0:00 /usr/libexec/gnome-session-service --session=gnome
kali        2346 21.3  2.2 5099048 364880 ?      Ssl  10:43   0:23 /usr/bin/gnome-shell
kali        2384  0.0  0.0 381232  7492 ?        Ssl  10:43   0:00 /usr/libexec/at-spi-bus-launcher
kali        2391  0.0  0.0   8376  4880 ?        S    10:43   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 12 --address=unix:path=/run/user/1000/at-spi/bus
kali        2393  0.0  0.0 168804  7308 ?        Sl   10:43   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        2397  0.0  0.0 165432  6248 ?        Ssl  10:43   0:00 /usr/libexec/dconf-service
kali        2412  0.0  0.0 308772  6644 ?        Ssl  10:43   0:00 /usr/libexec/xdg-permission-store
kali        2414  0.0  0.1 662688 19780 ?        Sl   10:43   0:00 /usr/libexec/gnome-shell-calendar-server
kali        2425  0.1  0.3 831888 58756 ?        Ssl  10:43   0:00 /usr/libexec/evolution-source-registry
kali        2435  0.0  0.1 2597668 31976 ?       Sl   10:43   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
kali        2456  0.1  0.0 385648 11204 ?        Ssl  10:43   0:00 /usr/bin/ibus-daemon --panel disable
kali        2457  0.0  0.0 254164  9608 ?        Ssl  10:43   0:00 /usr/libexec/gsd-a11y-settings
kali        2458  0.0  0.0 251936  9560 ?        Ssl  10:43   0:00 /usr/libexec/gsd-color
